event,step,t,tokens,nodes,edges,components,beta1,wedges,triangles,star3,c4,deg_sq_sum,spectral_radius,clustering,dim_proxy
init,0,0.0,6.0,10.0,10.0,1.0,1.0,10.0,0.0,0.0,0.0,40.0,1.9999999999999998,0.0,0.7895348218628638
move,200,31.548882014137924,6.0,9.0,11.0,1.0,3.0,24.0,3.0,16.0,2.0,70.0,3.13897498589231,0.36666666666666664,0.8021584233191037
move,400,65.38388758127455,6.0,8.0,12.0,1.0,5.0,28.0,4.0,15.0,6.0,80.0,3.4392050486421186,0.3333333333333333,0.5432475772230302
move,600,99.89720955602235,5.0,8.0,18.0,1.0,11.0,72.0,18.0,78.0,41.0,180.0,4.9862171092418786,0.675,0.32309281118384137
swap,800,134.88891116737534,6.0,9.0,19.0,1.0,11.0,70.0,14.0,74.0,27.0,178.0,4.6859984253536995,0.5740740740740741,0.46245346411291516
move,1000,165.4616221542492,7.0,9.0,30.0,1.0,22.0,175.0,49.0,293.0,177.0,410.0,6.796249231588516,0.8629629629629629,0.14001223022943166
move,1200,196.26079229151722,7.0,9.0,35.0,1.0,27.0,238.0,77.0,462.0,336.0,546.0,7.79583152331272,0.9722222222222222,0.02157802069403449
move,1400,224.2528476676217,7.0,10.0,30.0,1.0,21.0,169.0,43.0,277.0,154.0,398.0,6.598242227831392,0.7042857142857143,0.19398919150488841
move,1600,263.08579623797925,6.0,10.0,29.0,1.0,20.0,149.0,31.0,225.0,100.0,356.0,6.065932290259323,0.6516666666666666,0.2929835270959425
swap,1800,300.273981004325,6.0,10.0,37.0,1.0,28.0,243.0,66.0,464.0,285.0,560.0,7.546359675566306,0.817063492063492,0.13850817622836517
delete,2000,331.4586204975892,6.0,10.0,33.0,1.0,24.0,199.0,53.0,357.0,199.0,464.0,6.994945511615208,0.8057142857142857,0.24848829757379848
move,2200,361.0734390927716,7.0,10.0,41.0,1.0,32.0,297.0,89.0,623.0,423.0,676.0,8.237900024181357,0.9,0.06869560210352288
move,2400,396.59694603569096,6.0,10.0,43.0,1.0,34.0,328.0,104.0,728.0,520.0,742.0,8.623475382979798,0.9523809523809523,0.03860439450433709
move,2600,429.3155702057323,5.0,10.0,43.0,1.0,34.0,328.0,104.0,728.0,520.0,742.0,8.623475382979798,0.9523809523809523,0.02895329587825282
move,2800,471.6020447802887,4.0,10.0,41.0,1.0,32.0,299.0,91.0,637.0,431.0,680.0,8.274917217635377,0.9206349206349206,0.060182415198371586
move,3000,516.3386614447952,5.0,10.0,39.0,1.0,30.0,269.0,77.0,539.0,345.0,616.0,7.880427852124881,0.8642857142857142,0.11185164349159187
move,3200,552.0013153983838,6.0,10.0,42.0,1.0,33.0,313.0,97.0,679.0,473.0,710.0,8.444056308887475,0.9321428571428572,0.039742306225270065
move,3400,580.8933579214872,8.0,10.0,40.0,1.0,31.0,283.0,83.0,581.0,384.0,646.0,8.06408765359742,0.8821428571428571,0.09027362279755738
move,3600,606.8464219531928,8.0,11.0,44.0,1.0,34.0,337.0,104.0,764.0,520.0,762.0,8.636084536295355,0.8486291486291487,0.22784122637335089
move,3800,631.981056844598,8.0,10.0,43.0,1.0,34.0,329.0,105.0,735.0,525.0,744.0,8.641984133301255,0.961111111111111,0.039742306225270065
move,4000,660.7293715478573,8.0,11.0,41.0,1.0,31.0,292.0,85.0,615.0,391.0,666.0,8.111267707168377,0.8023088023088024,0.11923725021359265
move,4200,686.0931421263682,8.0,11.0,42.0,1.0,32.0,296.0,81.0,624.0,367.0,676.0,8.013519725048262,0.8475468975468975,0.19443965624447554
move,4400,712.0567243519124,8.0,11.0,44.0,1.0,34.0,315.0,82.0,665.0,394.0,718.0,8.132299161264319,0.7878787878787878,0.15396745997763317
move,4600,736.8820341712415,7.0,13.0,53.0,1.0,41.0,433.0,121.0,1090.0,644.0,972.0,9.116796595710579,0.8004939504939504,0.4214209140417452
move,4800,768.3958699455056,7.0,13.0,59.0,1.0,47.0,485.0,121.0,1189.0,665.0,1088.0,9.212814205938676,0.7522255522255522,0.14936980782661635
move,5000,795.2374188783485,8.0,13.0,67.0,1.0,55.0,630.0,178.0,1785.0,1140.0,1394.0,10.387020356419296,0.8527139527139528,0.10234675823721046
move,5200,818.28050509529,8.0,14.0,71.0,1.0,58.0,688.0,193.0,2063.0,1270.0,1518.0,10.659754827420054,0.8365190365190366,0.20215104136354176
move,5400,843.5289957424156,8.0,14.0,71.0,1.0,58.0,677.0,183.0,2003.0,1169.0,1496.0,10.475011449241562,0.8353035853035854,0.21964744907365302
move,5600,869.602133515827,9.0,14.0,72.0,1.0,59.0,688.0,182.0,2026.0,1188.0,1520.0,10.508684317927814,0.8067444460301604,0.18532526098897315
move,5800,890.7342163797179,10.0,14.0,77.0,1.0,64.0,784.0,222.0,2447.0,1547.0,1722.0,11.159486175802833,0.8537652823367109,0.13444104631064047
move,6000,912.8373680154322,10.0,15.0,86.0,1.0,72.0,944.0,275.0,3229.0,2062.0,2060.0,11.937339349958549,0.8813064713064713,0.10649599545925269
move,6200,931.6946039443774,10.0,15.0,93.0,1.0,79.0,1077.0,321.0,3852.0,2566.0,2340.0,12.559550482909433,0.8988522588522588,0.05781526133351041
triad,6400,952.5839485113092,10.0,15.0,95.0,1.0,81.0,1120.0,338.0,4074.0,2759.0,2430.0,12.771381180604855,0.9092648092648093,0.07973609008937012
move,6600,970.7524861259586,10.0,15.0,97.0,1.0,83.0,1169.0,362.0,4351.0,3010.0,2532.0,13.033420683275502,0.9337839937839938,0.05250763783824723
move,6800,989.7665471840918,10.0,15.0,99.0,1.0,85.0,1214.0,382.0,4583.0,3237.0,2626.0,13.255479476716761,0.9453613053613055,0.06561577751304973
move,7000,1013.151357526272,8.0,15.0,102.0,1.0,88.0,1289.0,418.0,5016.0,3652.0,2782.0,13.632052526776706,0.9741147741147741,0.01942793607158358
move,7200,1038.1572861559937,8.0,16.0,102.0,1.0,87.0,1236.0,365.0,4662.0,3065.0,2676.0,13.106261249255219,0.8831855644355644,0.1573828385882518
move,7400,1060.809967314543,9.0,16.0,100.0,1.0,85.0,1179.0,334.0,4329.0,2739.0,2558.0,12.769210004551963,0.8530733155733156,0.09246986627931214
delete,7600,1082.5073557389273,9.0,16.0,105.0,1.0,90.0,1295.0,384.0,4965.0,3269.0,2800.0,13.311565034910599,0.8965086996336996,0.13348568856643206
move,7800,1107.6397009927568,9.0,17.0,115.0,1.0,99.0,1534.0,483.0,6383.0,4468.0,3298.0,14.318860130911611,0.8932748623925094,0.07480098685760377
move,8000,1130.309661098615,9.0,17.0,112.0,1.0,96.0,1436.0,431.0,5731.0,3849.0,3096.0,13.831308330002223,0.90468942821884,0.09891663260852603
move,8200,1149.261489053925,9.0,18.0,116.0,1.0,99.0,1511.0,447.0,6192.0,4039.0,3254.0,14.000901798010949,0.8478313353313354,0.40943546750566456
move,8400,1171.6348703883039,9.0,19.0,122.0,1.0,104.0,1620.0,470.0,6821.0,4348.0,3484.0,14.254329952132158,0.8373867360709466,0.4053490072471445
move,8600,1195.0384473950296,9.0,20.0,131.0,1.0,112.0,1742.0,468.0,7457.0,4328.0,3746.0,14.270760376437705,0.8221022604846133,0.32368989086322225
move,8800,1215.909711491049,9.0,20.0,135.0,1.0,116.0,1781.0,447.0,7498.0,4159.0,3832.0,14.146946572770798,0.7644246929541048,0.18052630589550095
move,9000,1241.7401098664254,8.0,21.0,135.0,1.0,115.0,1761.0,427.0,7338.0,3923.0,3792.0,13.966432317376333,0.7014226669688854,0.528658775052227
delete,9200,1261.9962457279858,9.0,21.0,139.0,1.0,119.0,1832.0,444.0,7718.0,4110.0,3942.0,14.121849606497177,0.7083783241346266,0.4154735095246425
move,9400,1282.8849142460074,9.0,21.0,142.0,1.0,122.0,1918.0,477.0,8353.0,4495.0,4120.0,14.426536952632933,0.7613501500056122,0.16899178454259928
move,9600,1306.1965134051557,9.0,22.0,150.0,1.0,129.0,2100.0,524.0,9580.0,5137.0,4500.0,14.88875719272757,0.7878677679233548,0.1999360075035683
move,9800,1328.2003244052719,9.0,23.0,156.0,1.0,134.0,2216.0,548.0,10222.0,5485.0,4744.0,15.12286027208815,0.7317374583359239,0.40282242651495215
delete,10000,1351.3127667823396,9.0,23.0,155.0,1.0,133.0,2160.0,514.0,9780.0,5076.0,4630.0,14.853492253150215,0.7434617277698446,0.5100726844616295
seed,10200,1373.5602636375882,9.0,24.0,170.0,1.0,147.0,2547.0,649.0,12344.0,6897.0,5434.0,15.96164809005186,0.7483070775543686,0.73150513860664
move,10400,1394.9898029452488,9.0,24.0,173.0,1.0,150.0,2595.0,648.0,12589.0,6864.0,5536.0,15.954980178782513,0.7466010071369978,0.40277216532688664
move,10600,1417.711796100397,10.0,24.0,182.0,1.0,159.0,2855.0,731.0,14751.0,8072.0,6074.0,16.58250238145333,0.784371018987892,0.44604718123458553
move,10800,1440.1750391885735,9.0,24.0,183.0,1.0,160.0,2840.0,701.0,14434.0,7686.0,6046.0,16.395018471504365,0.7637787751177845,0.42893149273949904
move,11000,1461.244716663627,9.0,24.0,196.0,1.0,173.0,3239.0,848.0,17526.0,9907.0,6870.0,17.406351941123464,0.8133840452919401,0.217038565694213
move,11200,1483.7225747596267,9.0,25.0,204.0,1.0,180.0,3415.0,889.0,18649.0,10584.0,7238.0,17.68549498826253,0.7556674917789469,0.28304685884401204
move,11400,1507.2772607150362,9.0,26.0,214.0,1.0,189.0,3689.0,965.0,20757.0,11767.0,7806.0,18.1461443066035,0.7781858380036517,0.31940961489497294
move,11600,1528.4746201558535,9.0,26.0,221.0,1.0,196.0,3877.0,1015.0,22094.0,12640.0,8196.0,18.460596124343024,0.8137919699839204,0.4302200091422108
move,11800,1552.044084474838,9.0,26.0,224.0,1.0,199.0,3951.0,1028.0,22767.0,12842.0,8350.0,18.53598637208316,0.8047593597139555,0.37428211234997966
move,12000,1574.4988089066599,10.0,27.0,225.0,1.0,199.0,3950.0,1010.0,22578.0,12637.0,8350.0,18.464658657443227,0.7663336507419755,0.2305114211624566
