seed,mode,final_time,final_edge_diff_count,final_damaged_nodes_count,final_token_hamming,final_radius_control,max_radius_control,final_core_l1,final_regime_l1,final_delta_beta1,fit_speed_control,max_ratio_speed_control
100,closed,1982.2344230868623,182,91,4,10,10,0.0,16.725620508010113,0.0,0.0028201675319161255,0.27777783851318405
101,closed,1963.7137553920684,158,80,4,8,11,0.0,4.251059997534119,0.0,0.003234045755827437,0.1443069195607552
102,closed,1986.6056814830386,156,81,4,10,12,0.0,101.71321494540153,0.0,0.004102624155692501,0.1677135449421603
103,closed,1987.3017665931545,190,96,4,7,9,0.0,354.96006306091226,0.0,0.0018884511828864627,0.08490825675407217
104,closed,1960.9763311575132,186,93,4,12,12,0.0,140.5711926271874,0.0,0.004094858963855836,0.15293003011925616
105,closed,1996.9380773647258,170,86,4,11,15,0.0,54.213882443728046,0.0,0.005152575033870937,0.20055978325616278
100,open,1982.2344230868623,216,44,2,3,3,104.0,14179.87156811616,-89.0,0.0007087356241172129,0.18518522567545603
101,open,1963.7137553920684,363,62,3,3,4,231.0,41886.73981264028,-206.0,0.00044699531612023546,0.13947662385417242
102,open,1986.6056814830386,444,76,4,3,4,116.0,30284.432218767928,107.0,0.00039319933465085407,0.25157031741324043
103,open,1987.3017665931545,542,95,2,3,3,22.0,9247.250827663463,-19.0,0.0007161577557204838,0.15170050257864062
104,open,1960.9763311575132,214,44,2,2,5,54.0,4300.321345027212,-41.0,-0.0002274808475612386,0.15293003011925616
105,open,1996.9380773647258,12,17,1,1,3,4.0,1.0912251046961527,0.0,-0.0002479028519915799,0.1337065221707752
